FBgn0004919,"	0.194109026"
FBgn0005561,"	0.007668093"
FBgn0005586,"	0.747338214"
FBgn0005592,"	0.209646324"
FBgn0005636,"	0.20699042"
FBgn0005655,"	43.51534118"
FBgn0005664,"	1.847405765"
FBgn0005670,"	0.010467804"
FBgn0005677,"	0.050261476"
FBgn0008636,"	0.320419866"
FBgn0010014,"	1.592017042"
FBgn0010038,"	5518.641146"
FBgn0010039,"	366.533716"
FBgn0010041,"	116.4486112"
FBgn0010042,"	5.038414773"
FBgn0010044,"	6.507908088"
FBgn0010100,"	17.23533029"
FBgn0010105,"	1.680253535"
FBgn0010109,"	1.260648343"
FBgn0010113,"	14.46663048"
FBgn0010114,"	0.000307287"
FBgn0010223,"	10.25117253"
FBgn0010226,"	15.99277485"
FBgn0010238,"	1.99409358"
FBgn0010241,"	0.664584627"
FBgn0010246,"	6.083537806"
FBgn0010278,"	50.32198847"
FBgn0010309,"	0.496390665"
FBgn0010314,"	7.738783673"
FBgn0010350,"	1.945534712"
FBgn0010379,"	7.498398875"
FBgn0010387,"	30.5128631"
FBgn0010470,"	10.8268503"
FBgn0010473,"	0.080487106"
FBgn0010482,"	0.01331033"
FBgn0010497,"	2.997597033"
FBgn0010549,"	8.964002129"
FBgn0010591,"	10.6378234"
FBgn0010620,"	2.735342058"
FBgn0010651,"	17.14538896"
FBgn0010786,"	44.76355865"
FBgn0010894,"	0.677885797"
FBgn0010905,"	0.196176735"
FBgn0011204,"	3.78875962"
FBgn0011206,"	0.343891575"
FBgn0011224,"	0.327244763"
FBgn0011236,"	12.94950401"
FBgn0011259,"	0.155174942"
FBgn0011260,"	9.302727201"
FBgn0011274,"	2.129645978"
FBgn0011279,"	0.923936819"
FBgn0011286,"	0.002294006"
FBgn0011288,"	0.012906511"
FBgn0011305,"	16.96798699"
FBgn0011476,"	19.73758714"
FBgn0011554,"	8.315269859"
FBgn0011556,"	3.974614739"
FBgn0011582,"	0.017804078"
FBgn0011591,"	11.64464429"
FBgn0011638,"	108.0584281"
FBgn0011666,"	1.470020225"
FBgn0011674,"	31.47368053"
FBgn0011692,"	1.606086973"
FBgn0011703,"	16.65807131"
FBgn0011705,"	47.0220173"
FBgn0011706,"	1.272754498"
FBgn0011822,"	23.46384965"
FBgn0011823,"	28.13387747"
FBgn0011824,"	126.9184697"
FBgn0011829,"	0.020674223"
FBgn0011834,"	0.752359621"
FBgn0012034,"	2.302411846"
FBgn0012037,"	9.672231192"
FBgn0013269,"	140.5901083"
FBgn0013323,"	1.282623592"
FBgn0013342,"	0.09822001"
FBgn0013467,"	0.006255593"
FBgn0013469,"	4.471745358"
FBgn0013689,"	60.01321814"
FBgn0013698,"	19.38724612"
FBgn0013704,"	12.60337942"
FBgn0013725,"	1.705462675"
FBgn0013726,"	39.08144312"
FBgn0013732,"	0.228310191"
FBgn0013765,"	3.026654791"
FBgn0013772,"	0.760146163"
FBgn0013953,"	0.727363662"
FBgn0013972,"	0.021273429"
FBgn0013995,"	0.236670329"
FBgn0014006,"	1.41612936"
FBgn0014018,"	40.39669951"
FBgn0014032,"	6.122619901"
FBgn0014033,"	2.819739632"
FBgn0014073,"	6.760018299"
FBgn0014135,"	1.562774594"
FBgn0014141,"	0.554655293"
FBgn0014342,"	0.271550173"
FBgn0014343,"	0.081156271"
FBgn0014427,"	8.268494771"
FBgn0014469,"	24.48878806"
FBgn0014861,"	4.36425261"
FBgn0014863,"	0.227795813"
FBgn0014865,"	0.216371081"
FBgn0014903,"	3.077601063"
FBgn0015001,"	8.919350133"
FBgn0015008,"	0.176047097"
FBgn0015032,"	0.001450044"
FBgn0015033,"	0.263584801"
FBgn0015034,"	0.960714112"
FBgn0015035,"	0.10332831"
FBgn0015036,"	1.41100549"
FBgn0015037,"	6.088931068"
FBgn0015038,"	10.5039044"
FBgn0015039,"	42.77507811"
FBgn0015240,"	11.47380514"
FBgn0015268,"	111.2060804"
FBgn0015270,"	1.723565001"
FBgn0015316,"	7.232814271"
FBgn0015323,"	0.012208815"
FBgn0015336,"	1.608624367"
FBgn0015371,"	0.633448497"
FBgn0015372,"	186.9595704"
FBgn0015380,"	7.054687556"
FBgn0015393,"	134.3340288"
FBgn0015396,"	11.31494803"
FBgn0015399,"	3.658213687"
FBgn0015402,"	0.654400156"
FBgn0015522,"	26.30712989"
FBgn0015527,"	7.888623621"
FBgn0015542,"	1.26532625"
FBgn0015546,"	1.816734937"
FBgn0015550,"	0.023064678"
FBgn0015565,"	0.165966777"
FBgn0015568,"	0.966698775"
FBgn0015570,"	0.079367197"
FBgn0015571,"	2.187116328"
FBgn0015572,"	1.449578721"
FBgn0015576,"	0.144155961"
FBgn0015577,"	11.38566501"
FBgn0015600,"	0.21776941"
FBgn0015714,"	27.31343574"
FBgn0015721,"	4.356177914"
FBgn0015777,"	3.121521343"
FBgn0015801,"	3.314657656"
FBgn0015903,"	5.613314297"
FBgn0015946,"	0.429078947"
FBgn0016032,"	99.68735043"
FBgn0016054,"	0.036526139"
FBgn0016126,"	1.34161709"
FBgn0016131,"	2.501134767"
FBgn0016650,"	0.07299643"
FBgn0016672,"	10.44622314"
FBgn0016684,"	0.839796294"
FBgn0016715,"	2.653622201"
FBgn0016726,"	1086.733552"
FBgn0017456,"	0.283102783"
FBgn0017558,"	2.869946013"
FBgn0017561,"	0.013305195"
FBgn0017577,"	4.310651133"
FBgn0017590,"	0.260118464"
FBgn0019643,"	4.449702451"
FBgn0019650,"	0.501749903"
FBgn0019661,"	0.052985076"
FBgn0019662,"	3.075984286"
FBgn0019929,"	4.531197491"
FBgn0019948,"	33.98683148"
FBgn0020224,"	10.39657255"
FBgn0020251,"	1.056854042"
FBgn0020269,"	1.074651339"
FBgn0020278,"	8.956405292"
FBgn0020294,"	0.337984979"
FBgn0020307,"	2.980577892"
FBgn0020368,"	0.506187761"
FBgn0020372,"	0.030057978"
